"x, mkm","Potential energy, eV, VCh=0.21, VSG=-0.36","Potential energy, eV, VCh=0.24, VSG=-0.27"
-37,-0.08994,-0.13238
-36.9,-0.08991,-0.13234
-36.8,-0.08987,-0.13231
-36.7,-0.08984,-0.13228
-36.6,-0.0898,-0.13226
-36.5,-0.08977,-0.13223
-36.4,-0.08974,-0.1322
-36.3,-0.08971,-0.13218
-36.2,-0.08968,-0.13216
-36.1,-0.08966,-0.13213
-36,-0.08963,-0.13211
-35.9,-0.08961,-0.13209
-35.8,-0.08957,-0.13206
-35.7,-0.08954,-0.13204
-35.6,-0.08951,-0.13201
-35.5,-0.08949,-0.13199
-35.4,-0.08946,-0.13196
-35.3,-0.08943,-0.13194
-35.2,-0.0894,-0.13192
-35.1,-0.08937,-0.13189
-35,-0.08935,-0.13187
-34.9,-0.08932,-0.13185
-34.8,-0.0893,-0.13183
-34.7,-0.08927,-0.1318
-34.6,-0.08924,-0.13178
-34.5,-0.08922,-0.13176
-34.4,-0.08919,-0.13174
-34.3,-0.08917,-0.13172
-34.2,-0.08915,-0.1317
-34.1,-0.08912,-0.13168
-34,-0.0891,-0.13166
-33.9,-0.08908,-0.13164
-33.8,-0.08906,-0.13162
-33.7,-0.08903,-0.13161
-33.6,-0.08901,-0.13159
-33.5,-0.08899,-0.13157
-33.4,-0.08897,-0.13155
-33.3,-0.08894,-0.13153
-33.2,-0.08892,-0.13151
-33.1,-0.0889,-0.1315
-33,-0.08888,-0.13148
-32.9,-0.08887,-0.13147
-32.8,-0.08885,-0.13145
-32.7,-0.08883,-0.13144
-32.6,-0.08882,-0.13142
-32.5,-0.0888,-0.13141
-32.4,-0.08878,-0.13139
-32.3,-0.08876,-0.13138
-32.2,-0.08874,-0.13136
-32.1,-0.08873,-0.13135
-32,-0.08871,-0.13134
-31.9,-0.08869,-0.13132
-31.8,-0.08868,-0.13131
-31.7,-0.08866,-0.1313
-31.6,-0.08865,-0.13128
-31.5,-0.08863,-0.13127
-31.4,-0.08862,-0.13126
-31.3,-0.0886,-0.13124
-31.2,-0.08858,-0.13123
-31.1,-0.08856,-0.13121
-31,-0.08854,-0.1312
-30.9,-0.08853,-0.13118
-30.8,-0.08851,-0.13117
-30.7,-0.08849,-0.13115
-30.6,-0.08847,-0.13114
-30.5,-0.08846,-0.13113
-30.4,-0.08844,-0.13111
-30.3,-0.08842,-0.1311
-30.2,-0.08841,-0.13108
-30.1,-0.08839,-0.13107
-30,-0.08837,-0.13106
-29.9,-0.08836,-0.13104
-29.8,-0.08834,-0.13103
-29.7,-0.08833,-0.13102
-29.6,-0.08831,-0.131
-29.5,-0.0883,-0.13099
-29.4,-0.08828,-0.13098
-29.3,-0.08827,-0.13097
-29.2,-0.08826,-0.13096
-29.1,-0.08824,-0.13095
-29,-0.08823,-0.13094
-28.9,-0.08822,-0.13092
-28.8,-0.0882,-0.13091
-28.7,-0.08819,-0.1309
-28.6,-0.08818,-0.13089
-28.5,-0.08816,-0.13088
-28.4,-0.08815,-0.13087
-28.3,-0.08814,-0.13086
-28.2,-0.08813,-0.13085
-28.1,-0.08811,-0.13084
-28,-0.0881,-0.13083
-27.9,-0.08809,-0.13082
-27.8,-0.08808,-0.13081
-27.7,-0.08807,-0.1308
-27.6,-0.08806,-0.13079
-27.5,-0.08805,-0.13078
-27.4,-0.08804,-0.13078
-27.3,-0.08803,-0.13077
-27.2,-0.08802,-0.13076
-27.1,-0.08801,-0.13075
-27,-0.088,-0.13074
-26.9,-0.08799,-0.13073
-26.8,-0.08798,-0.13073
-26.7,-0.08797,-0.13072
