SG_voltage,CH_voltage,lockinIC_R,lockinIC_T,lockinIC_X,lockinIC_Y
-0.4,0.0,3.592304e-06,130.2282,-2.320004e-06,2.742642e-06
-0.4,0.0004,3.820572e-06,113.4055,-1.517627e-06,3.506116e-06
-0.4,0.0008,3.516247e-06,120.1359,-1.765323e-06,3.040971e-06
-0.4,0.0012,3.680292e-06,135.0306,-2.603676e-06,2.600876e-06
-0.4,0.0016,4.593014e-06,127.3331,-2.785418e-06,3.652017e-06
-0.4,0.002,4.197053e-06,132.4797,-2.834318e-06,3.095336e-06
-0.4,0.0024,3.232346e-06,150.3803,-2.809938e-06,1.597562e-06
-0.4,0.0028,3.298334e-06,122.362,-1.765452e-06,2.786083e-06
-0.4,0.0032,1.933593e-06,135.3819,-1.376258e-06,1.357996e-06
-0.4,0.0036,2.508245e-06,118.0085,-1.177858e-06,2.214476e-06
-0.4,0.004,2.67391e-06,101.8707,-5.50026e-07,2.616595e-06
-0.4,0.0044,3.153741e-06,132.1541,-2.116547e-06,2.337986e-06
-0.4,0.0048,2.910414e-06,147.7148,-2.460446e-06,1.55453e-06
-0.4,0.0052,2.649419e-06,125.2475,-1.528948e-06,2.163575e-06
-0.4,0.0056,3.267863e-06,132.1514,-2.193029e-06,2.422733e-06
-0.4,0.006,2.508943e-06,111.9813,-9.390916e-07,2.326531e-06
-0.4,0.0064,3.488374e-06,124.618,-1.981705e-06,2.87069e-06
-0.4,0.0068,4.160033e-06,114.3928,-1.718021e-06,3.788592e-06
-0.4,0.0072,2.580307e-06,103.6449,-6.086491e-07,2.507474e-06
-0.4,0.0076,2.397196e-06,108.7167,-7.692072e-07,2.270299e-06
-0.4,0.008,3.554161e-06,105.0655,-9.237695e-07,3.431903e-06
-0.4,0.0084,3.423845e-06,113.266,-1.352403e-06,3.145432e-06
-0.4,0.0088,3.14665e-06,95.2907,-2.902038e-07,3.133177e-06
-0.4,0.0092,4.24127e-06,94.89861,-3.62154e-07,4.225758e-06
-0.4,0.0096,3.824237e-06,90.75085,-5.010142e-08,3.823902e-06
-0.4,0.01,3.712378e-06,113.7118,-1.492844e-06,3.398861e-06
-0.4,0.0104,3.263454e-06,111.3135,-1.186117e-06,3.040172e-06
-0.4,0.0108,2.333818e-06,113.4063,-9.270999e-07,2.141721e-06
-0.4,0.0112,2.241902e-06,97.6196,-2.972669e-07,2.22207e-06
-0.4,0.0116,3.959599e-06,104.8662,-1.015836e-06,3.826964e-06
-0.4,0.012,4.946311e-06,101.0532,-9.482838e-07,4.854524e-06
-0.4,0.0124,3.57283e-06,124.9537,-2.04686e-06,2.928251e-06
-0.4,0.0128,3.347676e-06,100.5061,-6.103813e-07,3.291467e-06
-0.4,0.0132,3.778288e-06,97.78702,-5.124527e-07,3.743022e-06
-0.4,0.0136,3.439916e-06,72.3097,1.045279e-06,3.277212e-06
-0.4,0.014,3.693675e-06,94.18292,-2.694167e-07,3.683729e-06
-0.4,0.0144,3.769436e-06,111.9573,-1.409433e-06,3.495991e-06
-0.4,0.0148,3.166582e-06,84.49291,3.039222e-07,3.151964e-06
-0.4,0.0152,2.460535e-06,111.4573,-9.000487e-07,2.289891e-06
-0.4,0.0156,4.088927e-06,90.80156,-5.716457e-08,4.088519e-06
-0.4,0.016,2.655342e-06,114.3106,-1.093117e-06,2.419799e-06
-0.4,0.0164,2.150908e-06,105.6997,-5.820002e-07,2.07124e-06
-0.4,0.0168,4.018999e-06,116.3908,-1.786373e-06,3.600055e-06
-0.4,0.0172,3.648642e-06,102.6182,-7.970519e-07,3.560481e-06
-0.4,0.0176,2.946568e-06,90.27001,-1.385807e-08,2.946501e-06
-0.4,0.018,2.547025e-06,86.3884,1.604184e-07,2.541851e-06
