SG_voltage,CH_voltage,bf_fridge_temperature_cell,lockinST_R,lockinST_T,lockinST_X,lockinST_Y
0,0.42,0.222477,0.005431891,85.42428,0.000433337,0.005414578
0,0.419,0.222477,0.005395356,85.43734,0.000429196,0.005378252
0,0.418,0.222477,0.005414264,85.407,0.000433558,0.00539688
0,0.417,0.222477,0.005368142,85.41718,0.000428914,0.005350979
0,0.416,0.221603,0.005374128,85.40771,0.000430278,0.005356875
0,0.415,0.221603,0.005392978,85.44595,0.000428199,0.005375951
0,0.414,0.221603,0.005407472,85.24252,0.000448486,0.005388842
0,0.413,0.221603,0.005394011,85.29407,0.000442533,0.005375829
0,0.412,0.221603,0.005443504,85.31733,0.000444391,0.005425334
0,0.411,0.221603,0.005415022,85.28579,0.000445037,0.005396703
0,0.41,0.221603,0.005435551,85.32278,0.000443227,0.005417449
0,0.409,0.221603,0.005427607,85.44302,0.000431226,0.005410449
0,0.408,0.221603,0.005430837,85.34826,0.000440435,0.005412948
0,0.407,0.221603,0.005434689,85.4111,0.000434807,0.005417267
0,0.406,0.221603,0.005458946,85.29734,0.000447547,0.005440568
0,0.405,0.221603,0.005424298,85.40173,0.000434859,0.005406841
0,0.404,0.221603,0.005375994,85.3937,0.000431738,0.005358629
0,0.403,0.221603,0.005390524,85.4389,0.000428666,0.005373449
0,0.402,0.221603,0.005430949,85.44036,0.000431743,0.00541376
0,0.401,0.221603,0.005395495,85.43813,0.000429133,0.0053784
0,0.4,0.221542,0.005380901,85.48823,0.000423283,0.005364226
0,0.399,0.221542,0.005404247,85.31836,0.00044109,0.005386216
0,0.398,0.221542,0.005380898,85.40299,0.000431263,0.005363593
0,0.397,0.221542,0.00543027,85.30903,0.000444095,0.005412082
0,0.396,0.221542,0.005361287,85.40995,0.000429041,0.005344092
0,0.395,0.221542,0.005406347,85.47303,0.000426713,0.005389483
0,0.394,0.221542,0.005389793,85.44382,0.000428146,0.00537276
0,0.393,0.221542,0.005388408,85.33632,0.000438113,0.00537057
0,0.392,0.221542,0.005387992,85.38318,0.000433688,0.005370507
0,0.391,0.221542,0.005390541,85.60287,0.000413289,0.005374671
0,0.39,0.221542,0.005423108,85.57372,0.000418535,0.005406934
0,0.389,0.221542,0.005378087,85.4915,0.000422755,0.005361445
0,0.388,0.221542,0.005404275,85.37823,0.000435464,0.005386701
0,0.387,0.221542,0.005370228,85.47181,0.000423977,0.005353465
0,0.386,0.221542,0.005375933,85.43693,0.00042769,0.005358893
0,0.385,0.221941,0.005391936,85.55542,0.000417847,0.005375719
0,0.384,0.221941,0.005379816,85.37313,0.00043397,0.005362284
0,0.383,0.221941,0.005381421,85.5085,0.000421425,0.005364894
0,0.382,0.221941,0.005356771,85.43538,0.000426309,0.005339783
0,0.381,0.221941,0.005425843,85.53165,0.000422718,0.005409351
0,0.38,0.221941,0.005362902,85.5172,0.000419163,0.005346496
0,0.379,0.221941,0.005413935,85.28013,0.000445481,0.005395579
0,0.378,0.221941,0.005371744,85.44844,0.00042628,0.005354798
0,0.377,0.221941,0.005377451,85.41667,0.000429706,0.005360258
0,0.376,0.221941,0.005373084,85.47287,0.000424103,0.00535632
0,0.375,0.221941,0.005386311,85.4848,0.000424029,0.005369594
0,0.374,0.221941,0.005412808,85.36081,0.000437791,0.005395072
0,0.373,0.221941,0.005360119,85.32994,0.000436408,0.005342324
0,0.372,0.221941,0.005416813,85.34854,0.000439269,0.005398975
0,0.371,0.221941,0.005367897,85.60536,0.000411318,0.005352111
0,0.37,0.221941,0.005380568,85.41313,0.000430286,0.005363337
0,0.369,0.221755,0.005364861,85.54388,0.000416823,0.005348649
0,0.368,0.221755,0.005372697,85.44666,0.000426523,0.005355742
0,0.367,0.221755,0.005378196,85.41201,0.000430202,0.005360962
0,0.366,0.221755,0.005352879,85.50408,0.000419601,0.005336408
0,0.365,0.221755,0.005392888,85.41556,0.000431044,0.005375634
0,0.364,0.221755,0.005371611,85.61107,0.00041107,0.005355859
0,0.363,0.221755,0.005441524,85.33018,0.000443013,0.005423466
0,0.362,0.221755,0.005452047,85.4345,0.000433975,0.005434744
0,0.361,0.221755,0.005400283,85.49561,0.000424114,0.005383603
0,0.36,0.221755,0.005441373,85.41362,0.000435105,0.005423952
0,0.359,0.221755,0.00541082,85.57696,0.000417282,0.005394705
0,0.358,0.221755,0.005440433,85.59013,0.000418319,0.005424324
0,0.357,0.221755,0.005420094,85.49383,0.000425837,0.005403339
0,0.356,0.221755,0.005424656,85.47803,0.000427687,0.005407767
0,0.355,0.221755,0.005455963,85.48024,0.000429946,0.005438996
0,0.354,0.220842,0.005475174,85.37072,0.000441892,0.005457312
0,0.353,0.220842,0.005419357,85.53788,0.000421625,0.00540293
0,0.352,0.220842,0.005415569,85.504,0.000424523,0.005398904
0,0.351,0.220842,0.005430711,85.41756,0.000433878,0.005413351
0,0.35,0.220842,0.005366262,85.47194,0.000423652,0.005349517
0,0.349,0.220842,0.005413723,85.41346,0.000432907,0.005396386
0,0.348,0.220842,0.005365299,85.54702,0.000416567,0.005349103
0,0.347,0.220842,0.005386075,85.5923,0.000413936,0.005370145
0,0.346,0.220778,0.005399123,85.56253,0.000417736,0.005382938
0,0.345,0.220778,0.005385561,85.51926,0.000420741,0.0053691
0,0.344,0.220778,0.005412737,85.63515,0.000411949,0.005397038
0,0.343,0.220778,0.005422438,85.56702,0.000419116,0.005406216
0,0.342,0.220778,0.005377537,85.67572,0.000405473,0.005362229
0,0.341,0.220778,0.005395892,85.51774,0.000421691,0.005379389
0,0.34,0.220778,0.00539412,85.43092,0.0004297,0.005376977
0,0.339,0.220778,0.005383932,85.5504,0.000417696,0.005367704
0,0.338,0.220778,0.005400812,85.54342,0.000419662,0.00538448
0,0.337,0.220778,0.005389965,85.62286,0.000411371,0.005374241
0,0.336,0.220778,0.005367998,85.61816,0.000410131,0.005352307
0,0.335,0.220778,0.005416132,85.61179,0.000414408,0.005400255
0,0.334,0.220778,0.005404098,85.53603,0.000420612,0.005387704
0,0.333,0.220778,0.005441506,85.5723,0.00042009,0.005425266
0,0.332,0.220778,0.005418128,85.60773,0.000414944,0.005402213
0,0.331,0.220778,0.005422258,85.67694,0.000408729,0.005406831
0,0.33,0.220923,0.005413227,85.42305,0.000431964,0.005395964
0,0.329,0.220923,0.005451401,85.57999,0.000420124,0.005435188
0,0.328,0.220923,0.005424243,85.60439,0.000415728,0.005408287
0,0.327,0.220923,0.005392186,85.66665,0.000407428,0.005376771
0,0.326,0.220923,0.005406272,85.54423,0.00042001,0.005389931
0,0.325,0.220923,0.005424029,85.41103,0.000433959,0.005406641
0,0.324,0.220923,0.005369395,85.61012,0.000410991,0.005353639
0,0.323,0.220923,0.005404624,85.64946,0.000409985,0.005389053
0,0.322,0.220923,0.005477262,85.48683,0.000430996,0.005460278
0,0.321,0.220923,0.005428895,85.58549,0.00041787,0.005412787
0,0.32,0.220923,0.005405733,85.54555,0.000419847,0.005389404
0,0.319,0.220923,0.005435055,85.58646,0.000418253,0.005418938
0,0.318,0.220923,0.005441544,85.56779,0.00042052,0.005425274
0,0.317,0.220923,0.005473021,85.52101,0.000427407,0.005456307
0,0.316,0.220923,0.005455487,85.44821,0.000432949,0.005438283
0,0.315,0.220487,0.005438152,85.54084,0.000422805,0.00542169
0,0.314,0.220487,0.005385501,85.58935,0.000414168,0.005369549
0,0.313,0.220487,0.005409559,85.59855,0.000415152,0.005393605
0,0.312,0.220487,0.005423029,85.7174,0.000404969,0.005407884
0,0.311,0.220487,0.005379696,85.79148,0.000394796,0.00536519
0,0.31,0.220487,0.005408919,85.57151,0.000417649,0.005392771
0,0.309,0.220487,0.005356463,85.60684,0.000410305,0.005340725
0,0.308,0.220487,0.00535711,85.61954,0.00040917,0.005341461
0,0.307,0.220487,0.005393883,85.43502,0.000429297,0.005376771
0,0.306,0.220487,0.005401204,85.56357,0.000417799,0.005385021
0,0.305,0.220487,0.005400387,85.70741,0.000404217,0.005385237
0,0.304,0.220487,0.005424796,85.61085,0.00041516,0.005408886
0,0.303,0.220487,0.005361462,85.56142,0.000414925,0.005345388
0,0.302,0.220487,0.005401051,85.47502,0.000426106,0.005384218
0,0.301,0.220487,0.005378982,85.51258,0.000420852,0.005362493
0,0.3,0.220487,0.005398144,85.57706,0.000416295,0.00538207
0,0.299,0.21995,0.005459737,85.46839,0.000431371,0.005442672
0,0.298,0.21995,0.005474281,85.64703,0.000415501,0.005458489
0,0.297,0.21995,0.005422767,85.65657,0.00041069,0.005407192
0,0.296,0.21995,0.005442857,85.57892,0.000419567,0.005426662
0,0.295,0.21995,0.005405641,85.55908,0.000418564,0.005389412
0,0.294,0.21995,0.005424008,85.68975,0.000407653,0.005408665
0,0.293,0.21995,0.005454425,85.59891,0.000418562,0.005438341
0,0.292,0.21995,0.005472866,85.61354,0.000418583,0.005456832
0,0.291,0.21995,0.005437227,85.65067,0.000412345,0.005421574
0,0.29,0.21995,0.005461275,85.51738,0.000426835,0.005444569
0,0.289,0.21995,0.005404643,85.57726,0.000416778,0.005388551
0,0.288,0.21995,0.005442357,85.48544,0.000428381,0.005425472
0,0.287,0.21995,0.005418801,85.59563,0.000416137,0.005402798
0,0.286,0.21995,0.005416506,85.59384,0.000416129,0.005400495
0,0.285,0.21995,0.005435769,85.50886,0.000425647,0.005419078
0,0.284,0.220266,0.005444466,85.50009,0.000427159,0.005427683
0,0.283,0.220266,0.005391078,85.74757,0.000399752,0.005376236
0,0.282,0.220266,0.005416078,85.72362,0.000403863,0.005400999
0,0.281,0.220266,0.005387237,85.56175,0.000416889,0.005371079
0,0.28,0.220266,0.005400541,85.60747,0.000413622,0.005384677
0,0.279,0.220266,0.005428106,85.6696,0.000409864,0.00541261
0,0.278,0.220266,0.005455401,85.71131,0.000407964,0.005440125
0,0.277,0.220266,0.005418069,85.5788,0.000417667,0.005401944
0,0.276,0.220266,0.005467229,85.48971,0.000429933,0.005450298
0,0.275,0.220266,0.005429829,85.64785,0.000412049,0.005414172
0,0.274,0.220266,0.00543589,85.51714,0.000424874,0.00541926
0,0.273,0.220266,0.005411306,85.57994,0.000417039,0.005395212
0,0.272,0.220266,0.005427457,85.55869,0.00042029,0.005411161
0,0.271,0.220266,0.005428561,85.50169,0.000425761,0.005411837
0,0.27,0.220266,0.005431746,85.71689,0.000405668,0.005416579
0,0.269,0.220266,0.00542182,85.52123,0.000423388,0.005405261
0,0.268,0.22048,0.005439979,85.62513,0.00041497,0.005424128
0,0.267,0.22048,0.005441019,85.58994,0.000418382,0.005424909
0,0.266,0.22048,0.005412363,85.48018,0.000426515,0.005395531
0,0.265,0.22048,0.005419723,85.50491,0.000424763,0.005403054
0,0.264,0.22048,0.005440848,85.5234,0.000424668,0.00542425
0,0.263,0.22048,0.005435861,85.48341,0.000428062,0.005418977
0,0.262,0.22048,0.005459482,85.54024,0.000424523,0.005442951
0,0.261,0.22048,0.005400635,85.70112,0.000404826,0.00538544
0,0.26,0.22048,0.005426509,85.54612,0.000421404,0.005410121
0,0.259,0.22048,0.005460614,85.5786,0.000420966,0.005444363
0,0.258,0.22048,0.005421981,85.5665,0.000419129,0.005405757
0,0.257,0.22048,0.005364891,85.68206,0.000403927,0.005349663
0,0.256,0.22048,0.00541303,85.58087,0.000417084,0.005396938
0,0.255,0.22048,0.00542458,85.64221,0.000412184,0.005408897
0,0.254,0.22048,0.005401147,85.68893,0.000406011,0.005385868
0,0.253,0.219232,0.005430361,85.56068,0.000420327,0.005414072
0,0.252,0.219232,0.005387173,85.57336,0.000415796,0.005371103
0,0.251,0.219232,0.005397104,85.60405,0.00041368,0.005381226
0,0.25,0.219232,0.00537997,85.55106,0.000417327,0.005363757
0,0.249,0.219232,0.005374297,85.58214,0.000413981,0.005358329
0,0.248,0.219232,0.005419682,85.37449,0.000437057,0.005402031
0,0.247,0.219232,0.005386748,85.59547,0.00041369,0.005370839
0,0.246,0.219232,0.005414179,85.39564,0.000434619,0.005396705
0,0.245,0.219463,0.005363292,85.54094,0.000416978,0.005347058
0,0.244,0.219463,0.005389048,85.61755,0.000411796,0.005373291
0,0.243,0.219463,0.005383403,85.52073,0.000420435,0.00536696
0,0.242,0.219463,0.005413269,85.49747,0.000424961,0.00539656
0,0.241,0.219463,0.005428866,85.46813,0.000428954,0.005411892
0,0.24,0.219463,0.005420975,85.48035,0.000427178,0.005404113
0,0.239,0.219463,0.005432386,85.45999,0.000430001,0.005415341
0,0.238,0.219463,0.005424743,85.71551,0.000405275,0.005409583
0,0.237,0.219463,0.005428748,85.59224,0.000417221,0.005412697
0,0.236,0.219463,0.005436651,85.4271,0.00043345,0.005419341
0,0.235,0.219463,0.005419939,85.77252,0.000399538,0.005405192
0,0.234,0.219463,0.005437648,85.49293,0.000427302,0.00542083
0,0.233,0.219463,0.005380226,85.56055,0.000416459,0.005364084
0,0.232,0.219463,0.005405768,85.54033,0.000420338,0.005389401
0,0.231,0.219463,0.005478019,85.43443,0.000436049,0.005460637
0,0.23,0.219463,0.00547906,85.51763,0.000428201,0.005462302
0,0.229,0.219179,0.005417712,85.42919,0.000431743,0.005400482
0,0.228,0.219179,0.005420612,85.40016,0.000434712,0.005403152
0,0.227,0.219179,0.005405103,85.54912,0.000419459,0.005388802
0,0.226,0.219179,0.005410571,85.56751,0.000418155,0.005394383
0,0.225,0.219179,0.005396713,85.52103,0.000421446,0.005380231
0,0.224,0.219179,0.005450767,85.48443,0.000429138,0.00543385
0,0.223,0.219179,0.005371029,85.53625,0.000418018,0.005354737
0,0.222,0.219179,0.005411544,85.51128,0.000423523,0.005394945
0,0.221,0.219179,0.005410928,85.23045,0.000449909,0.005392185
0,0.22,0.219179,0.005383342,85.29969,0.000441129,0.005365237
0,0.219,0.219179,0.005407264,85.39033,0.000434566,0.005389776
0,0.218,0.219179,0.005407099,85.50427,0.000423834,0.005390462
0,0.217,0.219179,0.00546024,85.30988,0.000446465,0.005441956
0,0.216,0.219179,0.0054907,85.36508,0.000443684,0.005472744
0,0.215,0.219179,0.005425144,85.37731,0.000437232,0.005407496
0,0.214,0.218828,0.005458351,85.30664,0.000446618,0.005440049
0,0.213,0.218828,0.00543594,85.44405,0.00043179,0.005418761
0,0.212,0.218828,0.005397799,85.29525,0.000442734,0.005379611
0,0.211,0.218828,0.005417602,85.48509,0.000426462,0.00540079
0,0.21,0.218828,0.005419988,85.30909,0.000443248,0.00540183
0,0.209,0.218828,0.005402117,85.48184,0.000425552,0.005385329
0,0.208,0.218828,0.005450331,85.36135,0.000440776,0.005432483
0,0.207,0.218828,0.005456415,85.25824,0.000451054,0.005437737
0,0.206,0.218828,0.005359099,85.41436,0.000428455,0.005341944
0,0.205,0.218828,0.00541778,85.37922,0.000436458,0.00540017
0,0.204,0.218828,0.005390417,85.31305,0.000440459,0.005372391
0,0.203,0.218828,0.005389414,85.35707,0.00043625,0.005371729
0,0.202,0.218828,0.0053996,85.09683,0.000461514,0.00537984
0,0.201,0.218828,0.005371023,85.24897,0.000444861,0.005352568
0,0.2,0.218828,0.005415313,85.24046,0.000449331,0.005396639
0,0.199,0.218828,0.005361214,85.30254,0.000439052,0.005343205
0,0.198,0.21926,0.005387801,85.20714,0.00045017,0.005368963
0,0.197,0.21926,0.005367509,85.20164,0.000448988,0.005348694
0,0.196,0.21926,0.005386433,85.15051,0.000455361,0.00536715
0,0.195,0.21926,0.005369428,85.19132,0.000450112,0.005350528
0,0.194,0.21926,0.005370475,85.1218,0.000456693,0.005351024
0,0.193,0.21926,0.005430327,84.93521,0.0004794,0.005409124
0,0.192,0.21926,0.005375453,85.1858,0.000451133,0.005356487
0,0.191,0.21926,0.005414683,85.0536,0.000466871,0.005394518
0,0.19,0.21926,0.005367272,85.20381,0.000448766,0.005348478
0,0.189,0.21926,0.00538761,85.09755,0.000460422,0.005364081
0,0.188,0.21926,0.0053753,84.95893,0.000472326,0.005354507
0,0.187,0.21926,0.005379296,84.92115,0.00047621,0.005358175
0,0.186,0.21926,0.005405107,84.90952,0.000479588,0.005383788
0,0.185,0.21926,0.005353823,84.98762,0.000467766,0.005333349
0,0.184,0.21926,0.005329265,84.7939,0.000483567,0.00530728
0,0.183,0.21926,0.005421902,84.88687,0.000483214,0.005400326
0,0.182,0.218497,0.005402957,84.77094,0.000492413,0.005380474
0,0.181,0.218497,0.005414704,84.72147,0.000498139,0.005391742
0,0.18,0.218497,0.005471635,84.65566,0.000509634,0.005447849
0,0.179,0.218497,0.005450424,84.52329,0.000520192,0.005425543
0,0.178,0.218497,0.005437636,84.58947,0.000512721,0.005413409
0,0.177,0.218497,0.005461021,84.51854,0.000521656,0.005436048
0,0.176,0.218497,0.005452417,84.34492,0.000537278,0.005425881
0,0.175,0.218497,0.005413911,84.59831,0.000509652,0.005389873
0,0.174,0.218497,0.005429261,84.46178,0.000523976,0.005403917
0,0.173,0.218497,0.005431874,84.3285,0.000536803,0.005405284
0,0.172,0.218497,0.005454268,84.19501,0.00055166,0.0054263
0,0.171,0.218497,0.005409786,84.24577,0.000542393,0.005382527
0,0.17,0.218497,0.005409055,84.12921,0.000553267,0.005380685
0,0.169,0.218497,0.00540875,84.17639,0.000548805,0.005380835
0,0.168,0.218497,0.00541089,84.26133,0.000541041,0.005383775
0,0.167,0.218433,0.005485628,83.86432,0.000586322,0.005454203
0,0.166,0.218433,0.005458245,83.79249,0.000590198,0.005426242
0,0.165,0.218433,0.00542077,83.70493,0.000594381,0.005388084
0,0.164,0.218433,0.005454401,83.54618,0.000613087,0.005419835
0,0.163,0.218433,0.005425593,83.563,0.000608266,0.005391388
0,0.162,0.218433,0.0054154,83.39178,0.0006232,0.005379418
0,0.161,0.218433,0.005389192,83.45142,0.000614613,0.00535403
0,0.16,0.218433,0.005399511,83.185,0.000640727,0.005361361
0,0.159,0.218433,0.005394939,83.08427,0.000649601,0.00535569
0,0.158,0.218433,0.005341746,83.12272,0.000639637,0.005303314
0,0.157,0.218433,0.005369852,82.93839,0.000660151,0.005329119
0,0.156,0.218433,0.00535676,82.94294,0.000658119,0.005316178
0,0.155,0.218433,0.005352128,82.54765,0.000694179,0.005306918
0,0.154,0.218433,0.005362984,82.41062,0.000708303,0.005316001
0,0.153,0.218433,0.005357033,82.11597,0.000734815,0.005306396
0,0.152,0.21827,0.005390152,81.83385,0.00076564,0.005335497
0,0.151,0.21827,0.005334096,81.72544,0.000767666,0.005278567
0,0.15,0.21827,0.005354262,81.50305,0.000791128,0.00529549
0,0.149,0.21827,0.005337917,81.18097,0.000818377,0.005274809
0,0.148,0.21827,0.005373188,80.83935,0.000855429,0.00530466
0,0.147,0.21827,0.005395078,80.26925,0.000911861,0.005317455
0,0.146,0.21827,0.005398032,79.88795,0.000947752,0.005314181
0,0.145,0.21827,0.005376401,79.51637,0.000978257,0.005286649
0,0.144,0.217991,0.005327664,79.52568,0.000968541,0.005238886
0,0.143,0.217991,0.005331722,78.79738,0.001035842,0.005230133
0,0.142,0.217991,0.005272204,78.99827,0.001006139,0.005175308
0,0.141,0.217991,0.00527109,78.57343,0.001044265,0.005166613
0,0.14,0.217991,0.005254097,77.64237,0.001124444,0.005132364
0,0.139,0.217991,0.00520445,77.5547,0.001121597,0.005082157
0,0.138,0.217991,0.005179889,76.56444,0.001203554,0.005038125
0,0.137,0.217991,0.005128215,76.72539,0.001177532,0.004991193
0,0.136,0.217991,0.005061237,75.97698,0.001226396,0.004910404
0,0.135,0.217991,0.004991658,75.21076,0.001274191,0.004826291
0,0.134,0.217991,0.004918874,74.69045,0.001298748,0.00474432
0,0.133,0.217991,0.004800229,73.85398,0.001334877,0.004610889
0,0.132,0.217991,0.004693384,73.12703,0.001362257,0.004491336
0,0.131,0.217991,0.004658096,73.31012,0.001337764,0.004461868
0,0.13,0.217991,0.004491088,72.35255,0.001361513,0.004279734
0,0.129,0.217991,0.004368861,71.61522,0.001377924,0.004145873
0,0.128,0.218117,0.004227241,70.88929,0.001383975,0.003994266
0,0.127,0.218117,0.00401134,69.60638,0.001397821,0.003759904
0,0.126,0.218117,0.003846586,68.88511,0.001385688,0.003588326
0,0.125,0.218117,0.003710272,68.36512,0.001367942,0.003448896
0,0.124,0.218117,0.003654539,68.02246,0.001367686,0.003388965
0,0.123,0.218117,0.003485459,67.15757,0.001353048,0.003212115
0,0.122,0.218117,0.003329674,66.446,0.001330581,0.003052258
0,0.121,0.218117,0.003106958,64.84537,0.001320651,0.002812305
0,0.12,0.218117,0.003076748,64.4868,0.001325213,0.002776722
0,0.119,0.218117,0.002882399,63.51836,0.001285293,0.00257997
0,0.118,0.218117,0.002739214,62.8347,0.001250613,0.002437068
0,0.117,0.218117,0.002583579,62.01959,0.001212133,0.002281573
0,0.116,0.218117,0.002276452,59.56702,0.001153091,0.001962808
0,0.115,0.218117,0.002105468,57.58191,0.001128727,0.001777349
0,0.114,0.218117,0.001940397,56.27191,0.001077406,0.001613785
0,0.113,0.217753,0.001680118,53.62717,0.000996373,0.001352789
