"Frequency, Hz","SA, V, 23mK","SA, V, 137mK","SA, V, 191mK","SA, V, 295mK","SA, V, 398mK","SA, V, 496mK","SA, V, 606mK","SA, V, 4230mK"
869700.00,0.000000530685,0.000000450663,0.000000424950,0.000000436638,0.000000441474,0.000000433418,0.000000439962,0.000000530685
869750.00,0.000000514878,0.000000452512,0.000000450207,0.000000444901,0.000000446811,0.000000442022,0.000000442534,0.000000514878
869800.00,0.000000532659,0.000000439560,0.000000444679,0.000000455694,0.000000434844,0.000000452282,0.000000437115,0.000000532659
869850.00,0.000000519417,0.000000443207,0.000000447463,0.000000448629,0.000000451464,0.000000445755,0.000000425919,0.000000519417
869900.00,0.000000533310,0.000000440300,0.000000443475,0.000000445296,0.000000438845,0.000000453353,0.000000447210,0.000000533310
869950.00,0.000000522645,0.000000449897,0.000000428734,0.000000445183,0.000000441645,0.000000436497,0.000000454152,0.000000522645
870000.00,0.000000515771,0.000000452615,0.000000440692,0.000000442140,0.000000438778,0.000000443843,0.000000449182,0.000000515771
870050.00,0.000000506838,0.000000452625,0.000000428964,0.000000437697,0.000000461491,0.000000445628,0.000000448718,0.000000506838
870100.00,0.000000509560,0.000000455643,0.000000436839,0.000000433934,0.000000446621,0.000000440995,0.000000448543,0.000000509560
870150.00,0.000000516694,0.000000441668,0.000000445155,0.000000438310,0.000000437663,0.000000437933,0.000000449726,0.000000516694
870200.00,0.000000520576,0.000000445161,0.000000440410,0.000000442479,0.000000434670,0.000000439012,0.000000451894,0.000000520576
870250.00,0.000000527095,0.000000449444,0.000000433069,0.000000446286,0.000000450337,0.000000441881,0.000000462390,0.000000527095
870300.00,0.000000515986,0.000000439107,0.000000450810,0.000000447813,0.000000432919,0.000000450525,0.000000439893,0.000000515986
870350.00,0.000000519732,0.000000444468,0.000000435902,0.000000432989,0.000000444953,0.000000430544,0.000000429763,0.000000519732
870400.00,0.000000520978,0.000000430363,0.000000446146,0.000000441772,0.000000423669,0.000000438843,0.000000447299,0.000000520978
870450.00,0.000000508139,0.000000451693,0.000000448804,0.000000445341,0.000000429833,0.000000434583,0.000000435465,0.000000508139
870500.00,0.000000502826,0.000000435731,0.000000456976,0.000000439675,0.000000436711,0.000000443311,0.000000442039,0.000000502826
870550.00,0.000000521587,0.000000450443,0.000000447371,0.000000447733,0.000000458282,0.000000458157,0.000000440337,0.000000521587
870600.00,0.000000509348,0.000000441330,0.000000438439,0.000000443671,0.000000445574,0.000000447161,0.000000447811,0.000000509348
870650.00,0.000000502104,0.000000442864,0.000000434836,0.000000434796,0.000000456628,0.000000433164,0.000000440445,0.000000502104
870700.00,0.000000513615,0.000000450908,0.000000450497,0.000000450233,0.000000436976,0.000000446520,0.000000453356,0.000000513615
870750.00,0.000000521353,0.000000441476,0.000000440123,0.000000439496,0.000000437172,0.000000452120,0.000000449176,0.000000521353
870800.00,0.000000501393,0.000000444819,0.000000444911,0.000000439098,0.000000433120,0.000000443858,0.000000451546,0.000000501393
870850.00,0.000000497725,0.000000437602,0.000000434426,0.000000445474,0.000000428792,0.000000443988,0.000000433557,0.000000497725
870900.00,0.000000494940,0.000000435570,0.000000438551,0.000000434943,0.000000441771,0.000000436156,0.000000438180,0.000000494940
870950.00,0.000000501252,0.000000454801,0.000000448628,0.000000449592,0.000000459806,0.000000446182,0.000000457975,0.000000501252
871000.00,0.000000507764,0.000000442121,0.000000433570,0.000000444906,0.000000428023,0.000000454584,0.000000427571,0.000000507764
871050.00,0.000000504135,0.000000444252,0.000000427657,0.000000448093,0.000000438566,0.000000435323,0.000000448399,0.000000504135
871100.00,0.000000508634,0.000000430216,0.000000444339,0.000000434044,0.000000430923,0.000000424934,0.000000440381,0.000000508634
