deplition,CH_voltage,lockinIC_R,lockinIC_T,lockinIC_X,lockinIC_Y
-0.29428,0.1932,1.952452e-06,73.17641,5.650743e-07,1.868845e-06
-0.29428,0.1931,1.226792e-06,95.05336,-1.080594e-07,1.221958e-06
-0.29428,0.193,1.516347e-06,86.27168,9.859353e-08,1.513089e-06
-0.29428,0.1929,1.900507e-06,68.18169,7.063094e-07,1.76425e-06
-0.29428,0.1928,1.308124e-06,101.5931,-2.6289e-07,1.28138e-06
-0.29428,0.1927,7.355622e-07,131.3843,-4.862006e-07,5.517527e-07
-0.29428,0.1926,1.288063e-06,102.505,-2.78877e-07,1.257397e-06
-0.29428,0.1925,1.558888e-06,114.6804,-6.508883e-07,1.416357e-06
-0.29428,0.1924,1.199662e-06,117.4332,-5.526915e-07,1.06473e-06
-0.29428,0.1923,1.524712e-06,87.17915,7.501244e-08,1.522818e-06
-0.29428,0.1922,1.368328e-06,118.1711,-6.459597e-07,1.206099e-06
-0.29428,0.1921,1.410635e-06,95.08308,-1.249853e-07,1.40503e-06
-0.29428,0.192,8.95014e-07,55.44487,5.076471e-07,7.370878e-07
-0.29428,0.1919,6.072856e-07,151.4127,-5.332343e-07,2.905949e-07
-0.29428,0.1918,1.534296e-06,97.85084,-2.095922e-07,1.519884e-06
-0.29428,0.1917,1.945557e-06,95.95121,-2.0173e-07,1.934934e-06
-0.29428,0.1916,1.568019e-06,81.77771,2.242438e-07,1.551864e-06
-0.29428,0.1915,1.481959e-06,101.8029,-3.031287e-07,1.450465e-06
-0.29428,0.1914,1.14461e-06,103.8967,-2.748817e-07,1.111099e-06
-0.29428,0.1913,1.796526e-06,117.0714,-8.175764e-07,1.599697e-06
-0.29428,0.1912,1.757383e-06,60.75101,8.586086e-07,1.533206e-06
-0.29428,0.1911,2.052823e-06,117.4927,-9.476188e-07,1.820879e-06
-0.29428,0.191,1.942645e-06,110.1398,-6.688758e-07,1.823807e-06
-0.29428,0.1909,1.84038e-06,88.97212,3.304146e-08,1.840062e-06
-0.29428,0.1908,1.566756e-06,121.7133,-8.235722e-07,1.332812e-06
-0.29428,0.1907,1.899149e-06,97.06837,-2.337098e-07,1.88457e-06
-0.29428,0.1906,1.483462e-06,101.8064,-3.035254e-07,1.45193e-06
-0.29428,0.1905,1.323932e-06,122.5846,-7.129814e-07,1.115497e-06
-0.29428,0.1904,2.206787e-06,88.67837,5.089491e-08,2.206077e-06
-0.29428,0.1903,1.403477e-06,78.51513,2.794023e-07,1.375319e-06
-0.29428,0.1902,1.671848e-06,97.83772,-2.279765e-07,1.656191e-06
-0.29428,0.1901,1.06306e-06,73.91866,2.944618e-07,1.021429e-06
-0.29428,0.19,1.570601e-06,101.9079,-3.240443e-07,1.536671e-06
-0.29428,0.1899,1.795101e-06,103.6099,-4.223808e-07,1.744665e-06
-0.29428,0.1898,1.299122e-06,120.2132,-6.536878e-07,1.12256e-06
-0.29428,0.1897,1.851612e-06,100.3649,-3.33108e-07,1.821275e-06
-0.29428,0.1896,1.875109e-06,84.12222,1.919958e-07,1.865113e-06
-0.29428,0.1895,8.932091e-07,58.55675,4.659444e-07,7.620044e-07
-0.29428,0.1894,2.164252e-06,121.5713,-1.133088e-06,1.843929e-06
-0.29428,0.1893,1.313472e-06,102.8485,-2.920702e-07,1.280581e-06
-0.29428,0.1892,1.581313e-06,88.50352,4.130043e-08,1.580642e-06
-0.29428,0.1891,1.774074e-06,65.20411,7.440168e-07,1.610487e-06
-0.29428,0.189,1.36454e-06,72.72541,4.051867e-07,1.302966e-06
-0.29428,0.1889,1.885676e-06,102.5915,-4.110541e-07,1.840196e-06
-0.29428,0.1888,1.599775e-06,95.19936,-1.449678e-07,1.59317e-06
-0.29428,0.1887,1.704476e-06,103.3067,-3.922674e-07,1.658722e-06
-0.29428,0.1886,1.683985e-06,111.3646,-6.134491e-07,1.568254e-06
-0.29428,0.1885,9.033791e-07,147.0533,-7.580146e-07,4.912577e-07
-0.29428,0.1884,1.542136e-06,125.0114,-8.843299e-07,1.265393e-06
-0.29428,0.1883,2.15944e-06,54.38659,1.257397e-06,1.755455e-06
-0.29428,0.1882,1.358991e-06,108.7193,-4.361048e-07,1.286979e-06
-0.29428,0.1881,1.582743e-06,106.327,-4.448946e-07,1.518817e-06
-0.29428,0.188,1.466693e-06,114.9541,-6.187744e-07,1.329749e-06
-0.29428,0.1879,1.230457e-06,107.3191,-3.662835e-07,1.174656e-06
-0.29428,0.1878,9.525027e-07,83.88792,1.01393e-07,9.469483e-07
-0.29428,0.1877,1.490771e-06,76.60598,3.453623e-07,1.450197e-06
-0.29428,0.1876,1.285621e-06,81.90885,1.809373e-07,1.272719e-06
-0.29428,0.1875,1.161592e-06,72.38271,3.514867e-07,1.10697e-06
-0.29428,0.1874,7.416307e-07,91.54368,-1.998804e-08,7.412228e-07
-0.29428,0.1873,2.769364e-06,84.62754,2.592857e-07,2.757165e-06
-0.29428,0.1872,1.462077e-06,57.74983,7.80126e-07,1.236481e-06
-0.29428,0.1871,1.545958e-06,99.14985,-2.458356e-07,1.526283e-06
-0.29428,0.187,1.94445e-06,76.01848,4.698056e-07,1.886833e-06
-0.29428,0.1869,2.266885e-06,76.47091,5.303006e-07,2.203948e-06
-0.29428,0.1868,9.345542e-07,102.5583,-2.03194e-07,9.121689e-07
-0.29428,0.1867,1.665093e-06,89.87161,3.727152e-09,1.664986e-06
-0.29428,0.1866,1.159608e-07,-73.43169,3.304146e-08,-1.111272e-07
-0.29428,0.1865,1.299642e-06,70.39856,4.359651e-07,1.224221e-06
-0.29428,0.1864,1.413635e-06,102.3555,-3.024637e-07,1.380778e-06
-0.29428,0.1863,1.170789e-06,117.3895,-5.385652e-07,1.039417e-06
-0.29428,0.1862,8.566863e-07,92.35498,-3.517605e-08,8.559431e-07
-0.29428,0.1861,1.261565e-06,102.3502,-2.69819e-07,1.232352e-06
-0.29428,0.186,1.560118e-06,119.7682,-7.745381e-07,1.354129e-06
-0.29428,0.1859,8.447505e-07,98.58335,-1.26047e-07,8.35156e-07
-0.29428,0.1858,1.583721e-06,114.1935,-6.490219e-07,1.444604e-06
-0.29428,0.1857,1.465229e-06,107.2509,-4.345066e-07,1.399302e-06
