"Tank pressure, bar","Condensed,mbar","liquid, cc","Freq. fit, Hz","Freq. max, Hz",Q
0.57667,0.52786,0.0325,874836.2122,874912.5,1297.09018
0.57664,0.5576,0.03433,874837.3422,874875,1299.89915
0.57663,0.56,0.03448,874836.3291,874900,1290.96703
0.57659,0.60061,0.03698,874838.4534,874862.5,1293.28357
0.5766,0.59981,0.03693,874839.6032,874875,1300.11749
0.5766,0.59917,0.03689,874839.0006,874837.5,1291.73381
0.57655,0.64027,0.03942,874837.0095,874825,1294.34253
0.57651,0.68201,0.04199,874838.1238,874887.5,1287.04735
0.57651,0.68121,0.04194,874839.5004,874850,1294.07005
0.57651,0.68121,0.04194,874838.6744,874875,1292.95563
0.57647,0.72119,0.0444,874840.4294,874875,1290.9563
0.57645,0.74357,0.04578,874839.9955,874837.5,1296.21313
0.57643,0.7618,0.0469,874840.5489,874900,1293.08391
0.57643,0.75989,0.04678,874839.4323,874850,1287.6531
0.57639,0.80194,0.04937,874839.0157,874837.5,1295.93443
0.57639,0.80274,0.04942,874839.4997,874837.5,1297.85044
0.57635,0.84127,0.05179,874840.5697,874837.5,1288.624
0.57635,0.84224,0.05185,874838.5163,874862.5,1298.12314
0.57631,0.88189,0.05429,874839.1614,874862.5,1291.28384
0.57631,0.88349,0.05439,874839.341,874900,1291.58398
0.57627,0.92251,0.05679,874839.2713,874875,1286.76528
0.57627,0.92267,0.0568,874838.7142,874887.5,1297.61613
0.57627,0.92507,0.05695,874840.9408,874837.5,1298.95311
0.57623,0.96105,0.05916,874841.3728,874862.5,1291.47245
0.57621,0.98184,0.06044,874840.7405,874775,1293.60613
0.57619,1.0015,0.06165,874840.4988,874850,1282.95111
0.57615,1.04372,0.06425,874841.092,874862.5,1285.54863
0.57615,1.04196,0.06415,874841.9719,874912.5,1296.22502
0.57612,1.07346,0.06609,874841.7919,874875,1291.33284
0.57611,1.0829,0.06667,874841.95,874850,1288.00303
0.57611,1.08321,0.06669,874841.1284,874875,1296.89465
0.57607,1.12,0.06895,874842.8465,874862.5,1290.90357
0.57607,1.1224,0.0691,874842.8696,874875,1294.837
0.57607,1.12,0.06895,874841.8943,874900,1289.85655
0.57607,1.12191,0.06907,874844.0547,874862.5,1289.28487
0.57604,1.15901,0.07135,874844.1921,874837.5,1283.112
0.57595,1.24329,0.07654,874844.9529,874925,1288.34813
0.57603,1.16254,0.07157,874844.2743,874837.5,1293.20924
0.57603,1.16285,0.07159,874846.0616,874837.5,1289.09447
0.57595,1.24249,0.07649,874845.5287,874850,1290.98185
