"x, mkm","Potential energy, eV, VCh=0.01, VSG=-0.55","Potential energy, eV, VCh=0.05 V, VSG=-0.5","Potential energy, eV, VCh=0.1 V, VSG=-0.44","Potential energy, eV, VCh=0.15 V, VSG= -0.39"
-85.3,-0.17887,-0.18021,-0.18183,-0.18325
-85.2,-0.17874,-0.18008,-0.18172,-0.18315
-85.1,-0.1786,-0.17996,-0.1816,-0.18305
-85,-0.17847,-0.17983,-0.18149,-0.18295
-84.9,-0.17833,-0.1797,-0.18137,-0.18285
-84.8,-0.17818,-0.17957,-0.18125,-0.18274
-84.7,-0.17804,-0.17944,-0.18114,-0.18263
-84.6,-0.17789,-0.1793,-0.18101,-0.18253
-84.5,-0.17774,-0.17916,-0.18089,-0.18242
-84.4,-0.17759,-0.17903,-0.18077,-0.18231
-84.3,-0.17744,-0.17888,-0.18064,-0.18219
-84.2,-0.17728,-0.17874,-0.18051,-0.18208
-84.1,-0.17712,-0.17859,-0.18038,-0.18196
-84,-0.17696,-0.17844,-0.18025,-0.18184
-83.9,-0.1768,-0.17829,-0.18011,-0.18173
-83.8,-0.17663,-0.17814,-0.17998,-0.1816
-83.7,-0.17646,-0.17798,-0.17984,-0.18148
-83.6,-0.17629,-0.17783,-0.1797,-0.18136
-83.5,-0.17611,-0.17766,-0.17955,-0.18123
-83.4,-0.17593,-0.1775,-0.17941,-0.1811
-83.3,-0.17575,-0.17734,-0.17926,-0.18097
-83.2,-0.17557,-0.17717,-0.17911,-0.18084
-83.1,-0.17538,-0.177,-0.17896,-0.18071
-83,-0.17519,-0.17683,-0.17881,-0.18057
-82.9,-0.175,-0.17665,-0.17865,-0.18044
-82.8,-0.1748,-0.17647,-0.17849,-0.1803
-82.7,-0.1746,-0.17628,-0.17833,-0.18015
-82.6,-0.1744,-0.1761,-0.17817,-0.18001
-82.5,-0.17419,-0.17591,-0.178,-0.17986
-82.4,-0.17398,-0.17572,-0.17783,-0.17972
-82.3,-0.17377,-0.17552,-0.17766,-0.17957
-82.2,-0.17355,-0.17532,-0.17748,-0.17941
-82.1,-0.17333,-0.17512,-0.17731,-0.17926
-82,-0.1731,-0.17492,-0.17713,-0.1791
-81.9,-0.17287,-0.17471,-0.17694,-0.17894
-81.8,-0.17264,-0.17449,-0.17676,-0.17878
-81.7,-0.1724,-0.17428,-0.17657,-0.17862
-81.6,-0.17215,-0.17405,-0.17637,-0.17845
-81.5,-0.1719,-0.17383,-0.17618,-0.17828
-81.4,-0.17165,-0.1736,-0.17598,-0.17811
-81.3,-0.17139,-0.17336,-0.17577,-0.17793
-81.2,-0.17113,-0.17313,-0.17556,-0.17776
-81.1,-0.17086,-0.17289,-0.17536,-0.17758
-81,-0.17059,-0.17264,-0.17514,-0.17739
-80.9,-0.17031,-0.17239,-0.17492,-0.17721
-80.8,-0.17002,-0.17213,-0.1747,-0.17702
-80.7,-0.16973,-0.17187,-0.17448,-0.17683
-80.6,-0.16944,-0.1716,-0.17425,-0.17664
-80.5,-0.16913,-0.17133,-0.17401,-0.17644
-80.4,-0.16883,-0.17105,-0.17378,-0.17624
-80.3,-0.16851,-0.17077,-0.17353,-0.17603
-80.2,-0.16819,-0.17048,-0.17329,-0.17583
-80.1,-0.16786,-0.17019,-0.17304,-0.17562
-80,-0.16753,-0.16989,-0.17278,-0.1754
-79.9,-0.16718,-0.16959,-0.17252,-0.17519
-79.8,-0.16683,-0.16927,-0.17226,-0.17497
-79.7,-0.16647,-0.16895,-0.17198,-0.17474
-79.6,-0.1661,-0.16862,-0.1717,-0.17451
-79.5,-0.16572,-0.16828,-0.17142,-0.17428
-79.4,-0.16533,-0.16794,-0.17113,-0.17404
-79.3,-0.16493,-0.16758,-0.17083,-0.1738
-79.2,-0.16452,-0.16722,-0.17053,-0.17355
-79.1,-0.1641,-0.16685,-0.17022,-0.1733
-79,-0.16367,-0.16648,-0.1699,-0.17304
-78.9,-0.16324,-0.16609,-0.16958,-0.17278
-78.8,-0.16279,-0.16569,-0.16925,-0.17252
-78.7,-0.16232,-0.16529,-0.16892,-0.17225
-78.6,-0.16184,-0.16486,-0.16857,-0.17197
-78.5,-0.16134,-0.16443,-0.16821,-0.17169
-78.4,-0.16083,-0.16398,-0.16784,-0.1714
-78.3,-0.1603,-0.16352,-0.16746,-0.1711
-78.2,-0.15976,-0.16304,-0.16708,-0.1708
-78.1,-0.1592,-0.16256,-0.16668,-0.17049
-78,-0.15862,-0.16206,-0.16627,-0.17018
-77.9,-0.15803,-0.16154,-0.16586,-0.16986
-77.8,-0.15742,-0.16102,-0.16543,-0.16953
-77.7,-0.15679,-0.16048,-0.165,-0.1692
-77.6,-0.15614,-0.15991,-0.16454,-0.16885
-77.5,-0.15546,-0.15932,-0.16407,-0.1685
-77.4,-0.15475,-0.15871,-0.16359,-0.16813
-77.3,-0.154,-0.15808,-0.16308,-0.16776
-77.2,-0.15323,-0.15742,-0.16256,-0.16737
-77.1,-0.15243,-0.15673,-0.16203,-0.16698
-77,-0.1516,-0.15602,-0.16147,-0.16657
-76.9,-0.15074,-0.15529,-0.1609,-0.16616
-76.8,-0.14985,-0.15454,-0.16031,-0.16573
-76.7,-0.14893,-0.15376,-0.1597,-0.1653
-76.6,-0.14798,-0.15295,-0.15908,-0.16485
-76.5,-0.14697,-0.1521,-0.15842,-0.16438
-76.4,-0.1459,-0.15119,-0.15772,-0.1639
-76.3,-0.14476,-0.15024,-0.15699,-0.16339
-76.2,-0.14355,-0.14923,-0.15623,-0.16286
-76.1,-0.14229,-0.14817,-0.15543,-0.16231
-76,-0.14096,-0.14706,-0.15459,-0.16174
-75.9,-0.13956,-0.14589,-0.15371,-0.16115
-75.8,-0.1381,-0.14468,-0.1528,-0.16054
-75.7,-0.13658,-0.14341,-0.15186,-0.15991
-75.6,-0.13499,-0.14209,-0.15087,-0.15926
-75.5,-0.13334,-0.14072,-0.14985,-0.15859
-75.4,-0.13154,-0.13924,-0.14876,-0.15788
-75.3,-0.12961,-0.13764,-0.14758,-0.15712
-75.2,-0.12755,-0.13595,-0.14634,-0.15633
-75.1,-0.12535,-0.13414,-0.14502,-0.15549
-75,-0.12302,-0.13223,-0.14363,-0.15462
-74.9,-0.12056,-0.13021,-0.14217,-0.15371
-74.8,-0.11796,-0.12808,-0.14063,-0.15276
-74.7,-0.11523,-0.12585,-0.13902,-0.15177
-74.6,-0.11236,-0.12351,-0.13734,-0.15074
-74.5,-0.10936,-0.12107,-0.13559,-0.14967
-74.4,-0.10623,-0.11851,-0.13376,-0.14856
-74.3,-0.10286,-0.11578,-0.1318,-0.14738
-74.2,-0.09929,-0.11287,-0.12974,-0.14615
-74.1,-0.09564,-0.10991,-0.12764,-0.1449
-74,-0.09192,-0.1069,-0.1255,-0.14363
-73.9,-0.08813,-0.10383,-0.12333,-0.14235
-73.8,-0.08426,-0.1007,-0.12112,-0.14106
-73.7,-0.08033,-0.09751,-0.11888,-0.13975
-73.6,-0.07631,-0.09427,-0.1166,-0.13843
-73.5,-0.07223,-0.09098,-0.11428,-0.1371
-73.4,-0.06807,-0.08762,-0.11193,-0.13575
-73.3,-0.06384,-0.08421,-0.10955,-0.13438
-73.2,-0.05954,-0.08075,-0.10713,-0.133
-73.1,-0.05558,-0.07755,-0.10489,-0.13172
-73,-0.05175,-0.07447,-0.10273,-0.13048
-72.9,-0.04805,-0.07148,-0.10064,-0.12927
-72.8,-0.04448,-0.0686,-0.09861,-0.12809
-72.7,-0.04104,-0.06581,-0.09664,-0.12694
-72.6,-0.03773,-0.06313,-0.09475,-0.12582
-72.5,-0.03454,-0.06055,-0.09292,-0.12474
-72.4,-0.03149,-0.05807,-0.09115,-0.12369
-72.3,-0.02856,-0.05569,-0.08946,-0.12267
-72.2,-0.02575,-0.05341,-0.08783,-0.12169
-72.1,-0.02308,-0.05123,-0.08627,-0.12073
-72,-0.02062,-0.04921,-0.08481,-0.11983
-71.9,-0.01831,-0.04731,-0.08343,-0.11896
-71.8,-0.01607,-0.04548,-0.08209,-0.11811
-71.7,-0.01393,-0.04371,-0.08079,-0.11727
-71.6,-0.01186,-0.042,-0.07953,-0.11645
-71.5,-0.00987,-0.04036,-0.07831,-0.11565
-71.4,-0.00797,-0.03878,-0.07713,-0.11487
-71.3,-0.00615,-0.03726,-0.07599,-0.1141
-71.2,-0.00441,-0.03581,-0.0749,-0.11335
-71.1,-0.00275,-0.03442,-0.07384,-0.11262
-71,-0.00118,-0.03309,-0.07282,-0.11191
-70.9,3.17E-04,-0.03183,-0.07185,-0.11121
-70.8,0.00176,-0.0306,-0.0709,-0.11052
-70.7,0.00318,-0.0294,-0.06996,-0.10984
-70.6,0.00457,-0.02822,-0.06903,-0.10916
-70.5,0.00593,-0.02706,-0.06812,-0.10849
-70.4,0.00726,-0.02592,-0.06722,-0.10782
-70.3,0.00856,-0.02481,-0.06634,-0.10715
-70.2,0.00983,-0.02372,-0.06546,-0.10649
-70.1,0.01107,-0.02265,-0.0646,-0.10583
-70,0.01228,-0.0216,-0.06376,-0.10518
-69.9,0.01346,-0.02057,-0.06293,-0.10453
-69.8,0.01461,-0.01957,-0.06211,-0.10388
-69.7,0.01573,-0.01859,-0.0613,-0.10324
-69.6,0.01684,-0.01762,-0.0605,-0.1026
-69.5,0.01794,-0.01665,-0.0597,-0.10195
-69.4,0.01903,-0.0157,-0.0589,-0.10131
-69.3,0.02011,-0.01474,-0.05811,-0.10066
-69.2,0.02119,-0.0138,-0.05732,-0.10001
-69.1,0.02225,-0.01285,-0.05653,-0.09936
-69,0.02331,-0.01192,-0.05574,-0.09871
-68.9,0.02436,-0.01099,-0.05495,-0.09805
-68.8,0.02539,-0.01006,-0.05417,-0.0974
-68.7,0.02643,-0.00914,-0.05338,-0.09674
-68.6,0.02745,-0.00823,-0.0526,-0.09607
