"Field, V/cm","Frequency, GHz","Frequency, GHz","Frequency, GHz"
558,343.52641,555.43142,728.05666
561,344.36402,556.93416,730.13187
564,345.2001,558.43409,732.20319
567,346.03467,559.93124,734.27066
570,346.86773,561.42563,736.33431
573,347.69931,562.91727,738.39415
576,348.52939,564.40619,740.45022
579,349.35801,565.8924,742.50254
582,350.18516,567.37592,744.55114
585,351.01085,568.85678,746.59604
588,351.83511,570.33498,748.63727
591,352.65792,571.81056,750.67486
594,353.47931,573.28351,752.70883
597,354.29928,574.75387,754.7392
600,355.11785,576.22164,756.766
603,355.93501,577.68686,758.78925
606,356.75079,579.14952,760.80897
609,357.56518,580.60966,762.82519
612,358.37821,582.06728,764.83794
615,359.18987,583.52241,766.84723
618,360.00017,584.97505,768.85309
621,360.80913,586.42523,770.85553
624,361.61675,587.87296,772.85459
627,362.42304,589.31826,774.85028
630,363.228,590.76114,776.84263
633,364.03166,592.20161,778.83165
636,364.83401,593.6397,780.81737
639,365.63506,595.07542,782.7998
642,366.43482,596.50877,784.77898
645,367.2333,597.93979,786.75491
648,368.0305,599.36847,788.72763
651,368.82644,600.79484,790.69714
654,369.62111,602.21891,792.66347
657,370.41454,603.64069,794.62664
660,371.20672,605.0602,796.58667
663,371.99766,606.47746,798.54357
666,372.78738,607.89246,800.49738
669,373.57587,609.30524,802.44809
672,374.36314,610.71579,804.39574
675,375.14921,612.12414,806.34034
678,375.93407,613.5303,808.28191
681,376.71774,614.93428,810.22047
684,377.50023,616.33609,812.15603
687,378.28153,617.73575,814.08862
690,379.06165,619.13327,816.01824
693,379.84061,620.52866,817.94493
696,380.6184,621.92193,819.86869
699,381.39504,623.31309,821.78954
702,382.17054,624.70217,823.7075
705,382.94489,626.08916,825.62258
708,383.7181,627.47408,827.53481
711,384.49018,628.85695,829.44419
714,385.26114,630.23777,831.35075
717,386.03099,631.61656,833.2545
720,386.79972,632.99332,835.15545
723,387.56734,634.36808,837.05362
726,388.33387,635.74083,838.94903
729,389.0993,637.11159,840.8417
732,389.86365,638.48037,842.73163
735,390.62691,639.84719,844.61884
738,391.3891,641.21205,846.50335
741,392.15021,642.57496,848.38517
744,392.91026,643.93593,850.26431
747,393.66925,645.29498,852.1408
750,394.42719,646.65212,854.01464
753,395.18408,648.00735,855.88586
756,395.93993,649.36068,857.75445
759,396.69474,650.71213,859.62045
762,397.44852,652.06171,861.48385
765,398.20127,653.40942,863.34468
768,398.95299,654.75527,865.20295
771,399.70371,656.09928,867.05867
774,400.45341,657.44145,868.91186
777,401.2021,658.7818,870.76252
780,401.9498,660.12033,872.61067
783,402.69649,661.45705,874.45633
786,403.4422,662.79197,876.29951
789,404.18692,664.1251,878.14022
792,404.93066,665.45646,879.97847
795,405.67342,666.78604,881.81428
798,406.41521,668.11386,883.64765
801,407.15603,669.43992,885.4786
804,407.8959,670.76424,887.30715
807,408.6348,672.08683,889.1333
810,409.37275,673.40768,890.95706
813,410.10975,674.72682,892.77846
816,410.84581,676.04425,894.59749
819,411.58093,677.35997,896.41418
822,412.31512,678.67401,898.22852
825,413.04837,679.98635,900.04055
828,413.7807,681.29702,901.85025
831,414.51211,682.60602,903.65766
834,415.2426,683.91336,905.46277
837,415.97218,685.21905,907.26561
840,416.70085,686.52309,909.06617
843,417.42861,687.82549,910.86448
846,418.15548,689.12626,912.66054
849,418.88145,690.42541,914.45436
852,419.60653,691.72295,916.24595
855,420.33072,693.01888,918.03533
858,421.05402,694.31322,919.8225
861,421.77645,695.60596,921.60748
864,422.498,696.89711,923.39027
867,423.21868,698.1867,925.17089
870,423.9385,699.47471,926.94934
873,424.65745,700.76115,928.72564
876,425.37554,702.04605,930.4998
879,426.09277,703.32939,932.27182
882,426.80915,704.6112,934.04172
885,427.52469,705.89147,935.8095
888,428.23937,707.17022,937.57517
891,428.95322,708.44744,939.33875
894,429.66623,709.72315,941.10025
897,430.37841,710.99736,942.85966
900,431.08976,712.27007,944.61701
903,431.80028,713.54128,946.3723
906,432.50998,714.81101,948.12555
909,433.21886,716.07926,949.87675
912,433.92693,717.34603,951.62592
915,434.63418,718.61134,953.37307
918,435.34063,719.87519,955.11821
921,436.04627,721.13758,956.86134
924,436.75111,722.39853,958.60248
927,437.45515,723.65804,960.34163
930,438.1584,724.91611,962.0788
933,438.86086,726.17275,963.814
936,439.56252,727.42797,965.54725
939,440.26341,728.68178,967.27854
942,440.96351,729.93417,969.00789
945,441.66283,731.18516,970.7353
948,442.36138,732.43475,972.46078
951,443.05916,733.68295,974.18435
954,443.75617,734.92977,975.906
957,444.45242,736.1752,977.62576
960,445.1479,737.41926,979.34362
963,445.84262,738.66195,981.05959
966,446.53659,739.90328,982.77368
969,447.22981,741.14324,984.4859
972,447.92227,742.38186,986.19626
975,448.61399,743.61913,987.90476
978,449.30497,744.85506,989.61142
981,449.9952,746.08966,991.31623
984,450.6847,747.32292,993.01922
987,451.37347,748.55486,994.72037
990,452.0615,749.78548,996.41971
993,452.7488,751.01479,998.11724
996,453.43538,752.24279,999.81297
999,454.12123,753.46949,1001.50691
1002,454.80637,754.69489,1003.19905
1005,455.49079,755.919,1004.88941
1008,456.17449,757.14182,1006.57801
1011,456.85748,758.36335,1008.26483
1014,457.53977,759.58361,1009.94989
1017,458.22134,760.8026,1011.63321
1020,458.90222,762.02032,1013.31477
1023,459.58239,763.23678,1014.9946
1026,460.26187,764.45199,1016.6727
1029,460.94065,765.66594,1018.34907
1032,461.61873,766.87864,1020.02372
1035,462.29613,768.0901,1021.69667
1038,462.97284,769.30033,1023.3679
1041,463.64887,770.50932,1025.03745
1044,464.32421,771.71709,1026.70529
1047,464.99888,772.92363,1028.37146
1050,465.67287,774.12895,1030.03594
1053,466.34618,775.33306,1031.69876
