CH_voltage,lockinIC_R,lockinIC_T
0.1823,6.520841e-07,77.5658
0.1822,1.599043e-07,78.06061
0.1821,1.251708e-06,174.9501
0.182,2.670139e-07,54.46571
0.1819,1.158786e-06,124.3015
0.1818,1.146672e-06,110.7221
0.1817,1.41368e-06,67.79877
0.1816,4.852283e-07,117.4402
0.1815,4.295054e-07,80.37454
0.1814,7.718726e-07,84.87757
0.1813,2.265013e-07,10.61849
0.1812,1.337444e-06,96.13743
0.1811,7.011517e-07,112.3148
0.181,8.858889e-07,37.6822
0.1809,1.48938e-06,130.9945
0.1808,1.054398e-06,75.98701
0.1807,1.561649e-06,149.1792
0.1806,4.692189e-07,121.5236
0.1805,1.142917e-06,103.8897
0.1804,5.015172e-07,110.7457
0.1803,5.934163e-07,125.7913
0.1802,6.05883e-07,39.16306
0.1801,8.114073e-07,122.8522
0.18,4.219338e-07,100.0624
0.1799,9.103529e-07,168.8324
0.1798,9.794142e-07,117.2094
0.1797,7.037613e-07,66.34938
0.1796,1.139704e-06,140.399
0.1795,7.201172e-07,144.4499
0.1794,1.388076e-06,122.4154
0.1793,8.065849e-07,157.206
0.1792,2.164179e-06,140.0226
0.1791,5.155876e-07,116.727
0.179,8.541941e-07,126.9215
0.1789,6.739888e-07,135.2158
0.1788,5.328543e-07,105.9073
0.1787,9.479597e-07,126.5456
0.1786,5.469638e-07,162.8233
0.1785,6.139464e-07,124.4134
0.1784,1.103868e-06,43.8426
0.1783,1.064294e-06,108.3018
0.1782,8.770767e-07,124.8716
0.1781,1.106724e-06,127.5702
0.178,8.548311e-07,55.07418
0.1779,8.021425e-07,113.8307
0.1778,9.012334e-07,152.6366
0.1777,1.936443e-07,-151.1539
0.1776,1.365182e-06,-174.7027
0.1775,1.199159e-06,-171.1351
0.1774,1.45749e-06,121.8873
0.1773,1.010376e-06,152.5807
0.1772,8.401069e-07,172.7025
0.1771,1.085227e-06,175.9936
0.177,1.31065e-07,110.3715
0.1769,4.703924e-07,-42.90027
0.1768,9.386222e-07,-100.8737
0.1767,1.281559e-06,-153.9872
0.1766,6.423778e-07,-142.8336
0.1765,4.370883e-07,-85.5455
0.1764,6.19702e-07,90.02347
0.1763,5.012936e-07,70.52358
0.1762,6.698872e-07,-121.1879
0.1761,1.308247e-07,-128.1734
0.176,1.234106e-06,-93.96348
0.1759,7.08606e-08,-22.55268
0.1758,5.325637e-07,163.3967
0.1757,6.680879e-07,44.91355
0.1756,2.672709e-07,-41.11691
0.1755,1.051722e-06,-141.0764
0.1754,7.104612e-07,-144.6353
0.1753,1.232776e-06,-83.25857
0.1752,1.0787e-06,-161.431
0.1751,1.182602e-06,-134.4939
0.175,9.508933e-07,-120.3872
0.1749,1.439608e-06,-122.3585
0.1748,1.505909e-06,-124.6836
0.1747,1.668171e-06,-139.1523
0.1746,1.521751e-06,-115.3448
0.1745,1.632956e-06,-81.8564
0.1744,2.668015e-06,-112.6213
0.1743,1.616489e-06,-95.65746
0.1742,1.611303e-06,-101.2147
0.1741,2.614919e-06,-110.0362
0.174,1.766581e-06,-80.7155
0.1739,2.310337e-06,-122.923
0.1738,1.667378e-06,-114.259
0.1737,2.797141e-06,-105.2285
0.1736,3.302916e-06,-104.2721
0.1735,2.751499e-06,-129.7146
0.1734,1.540007e-06,-119.9684
0.1733,2.003783e-06,-99.48557
0.1732,2.668736e-06,-97.9753
0.1731,2.142794e-06,-133.0729
0.173,2.919103e-06,-120.9816
0.1729,2.929793e-06,-113.4216
0.1728,2.956643e-06,-126.6816
0.1727,2.832172e-06,-120.4598
0.1726,3.438418e-06,-100.4856
0.1725,4.714647e-06,-124.5793
0.1724,3.650793e-06,-120.3439
0.1723,4.135178e-06,-108.425
0.1722,4.439391e-06,-115.6411
0.1721,4.56175e-06,-115.5015
0.172,4.494957e-06,-109.3144
0.1719,5.485525e-06,-106.8782
0.1718,5.18809e-06,-109.8335
0.1717,4.702962e-06,-116.6448
0.1716,4.955811e-06,-114.1181
0.1715,4.349576e-06,-108.5678
0.1714,4.682997e-06,-121.2122
0.1713,3.769028e-06,-113.9093
0.1712,3.672173e-06,-112.1863
0.1711,4.726219e-06,-96.41794
0.171,3.300039e-06,-104.8159
0.1709,3.656482e-06,-107.6797
0.1708,3.981688e-06,-108.5296
0.1707,4.31858e-06,-116.3654
0.1706,3.63893e-06,-110.2377
0.1705,3.433668e-06,-99.06855
0.1704,3.299217e-06,-104.4776
0.1703,2.90277e-06,-120.2137
0.1702,3.205653e-06,-114.0973
0.1701,2.891248e-06,-109.3697
0.17,2.821622e-06,-120.8679
0.1699,2.325637e-06,-117.3139
0.1698,1.658136e-06,-119.7088
0.1697,2.223009e-06,-108.7757
0.1696,1.748593e-06,-131.1475
0.1695,1.369178e-06,-91.15901
0.1694,1.542398e-06,-95.16439
0.1693,7.459167e-07,-129.1263
0.1692,7.586292e-07,-146.0637
0.1691,4.407428e-07,-148.5777
0.169,9.574927e-07,-152.9844
0.1689,1.364227e-06,-93.37687
0.1688,7.581375e-07,-163.7289
0.1687,8.247904e-07,-174.5488
0.1686,1.614438e-06,-132.7586
0.1685,1.149745e-06,-152.0954
0.1684,7.12445e-07,-142.9385
0.1683,1.210654e-06,-167.0692
0.1682,1.605397e-06,-92.04025
0.1681,1.28176e-06,146.4186
0.168,2.850573e-07,-78.18301
0.1679,8.767303e-07,140.4435
0.1678,1.451348e-06,177.8854
0.1677,4.510134e-07,-173.2131
0.1676,7.111206e-07,174.2376
0.1675,7.137637e-07,179.9572
0.1674,3.689993e-07,150.6933
